"subjID"	"trialID"	"choice"	"outcome"	"correct"	"accuracy"
1	1	1	1	1	1
1	2	1	1	1	1
1	3	1	1	1	1
1	4	1	1	1	1
1	5	1	-1	1	1
1	6	2	-1	1	0
1	7	1	1	1	1
1	8	1	1	1	1
1	9	1	1	1	1
1	10	1	1	1	1
1	11	1	1	1	1
1	12	1	1	1	1
1	13	1	1	1	1
1	14	1	1	1	1
1	15	1	1	1	1
1	16	1	-1	1	1
1	17	2	1	2	1
1	18	2	1	2	1
1	19	2	1	2	1
1	20	2	1	2	1
1	21	2	-1	2	1
1	22	2	1	2	1
1	23	2	1	2	1
1	24	2	-1	2	1
1	25	1	-1	2	0
1	26	2	1	2	1
1	27	2	1	2	1
1	28	2	1	2	1
1	29	1	-1	2	0
1	30	2	1	2	1
1	31	2	1	2	1
1	32	2	1	2	1
1	33	2	-1	1	0
1	34	1	-1	1	1
1	35	2	-1	1	0
1	36	1	1	1	1
1	37	1	1	1	1
1	38	1	-1	1	1
1	39	1	1	1	1
1	40	1	1	1	1
1	41	1	1	1	1
1	42	1	1	1	1
1	43	1	1	1	1
1	44	2	-1	1	0
1	45	1	1	1	1
1	46	1	1	1	1
1	47	2	-1	1	0
1	48	1	1	1	1
1	49	1	1	1	1
1	50	1	-1	2	0
1	51	1	-1	2	0
1	52	2	1	2	1
1	53	2	1	2	1
1	54	2	1	2	1
1	55	2	1	2	1
1	56	2	1	2	1
1	57	2	1	2	1
1	58	2	1	2	1
1	59	2	1	2	1
1	60	2	-1	2	1
1	61	1	-1	2	0
1	62	2	1	2	1
1	63	2	-1	2	1
1	64	1	-1	2	0
1	65	2	1	2	1
1	66	2	1	1	0
1	67	2	-1	1	0
1	68	1	1	1	1
1	69	1	1	1	1
1	70	1	1	1	1
1	71	1	1	1	1
1	72	1	1	1	1
1	73	2	-1	1	0
1	74	1	1	1	1
1	75	1	1	1	1
1	76	1	-1	1	1
1	77	1	-1	1	1
1	78	2	-1	1	0
1	79	1	1	1	1
1	80	1	1	1	1
2	1	2	-1	1	0
2	2	1	-1	1	1
2	3	2	-1	1	0
2	4	1	1	1	1
2	5	2	-1	1	0
2	6	1	1	1	1
2	7	2	-1	1	0
2	8	1	1	1	1
2	9	2	-1	1	0
2	10	1	1	1	1
2	11	1	1	1	1
2	12	2	-1	1	0
2	13	1	1	1	1
2	14	2	-1	1	0
2	15	1	1	1	1
2	16	1	1	1	1
2	17	1	-1	2	0
2	18	1	-1	2	0
2	19	2	1	2	1
2	20	2	1	2	1
2	21	2	1	2	1
2	22	2	1	2	1
2	23	2	1	2	1
2	24	2	1	2	1
2	25	2	1	2	1
2	26	2	1	2	1
2	27	2	1	2	1
2	28	2	-1	2	1
2	29	1	-1	2	0
2	30	2	1	2	1
2	31	2	1	2	1
2	32	1	-1	2	0
2	33	2	-1	1	0
2	34	1	1	1	1
2	35	1	1	1	1
2	36	1	1	1	1
2	37	1	1	1	1
2	38	1	1	1	1
2	39	1	1	1	1
2	40	1	1	1	1
2	41	2	-1	1	0
2	42	1	-1	1	1
2	43	1	-1	1	1
2	44	2	-1	1	0
2	45	2	-1	1	0
2	46	1	1	1	1
2	47	1	1	1	1
2	48	1	1	1	1
2	49	1	-1	1	1
2	50	2	1	2	1
2	51	2	1	2	1
2	52	2	1	2	1
2	53	2	-1	2	1
2	54	2	1	2	1
2	55	2	-1	2	1
2	56	1	1	2	0
2	57	1	1	2	0
2	58	1	-1	2	0
