"subjID" "trial" "choice" "reward"
"1" 1 1 2 -1
"2" 1 2 1 -1
"3" 1 3 2 1
"4" 1 4 2 -1
"5" 1 5 1 1
"6" 1 6 2 -1
"7" 1 7 1 1
"8" 1 8 1 1
"9" 1 9 1 -1
"10" 1 10 1 -1
"11" 1 11 2 1
"12" 1 12 2 1
"13" 1 13 2 1
"14" 1 14 2 1
"15" 1 15 1 -1
"16" 1 16 2 1
"17" 1 17 1 -1
"18" 1 18 2 -1
"19" 1 19 2 -1
"20" 1 20 1 1
"21" 1 21 2 -1
"22" 1 22 1 1
"23" 1 23 1 -1
"24" 1 24 1 1
"25" 1 25 2 -1
"26" 1 26 2 -1
"27" 1 27 1 -1
"28" 1 28 1 1
"29" 1 29 1 -1
"30" 1 30 2 1
"31" 1 31 2 -1
"32" 1 32 1 -1
"33" 1 33 1 -1
"34" 1 34 2 1
"35" 1 35 2 1
"36" 1 36 1 -1
"37" 1 37 2 -1
"38" 1 38 NA 1
"39" 1 39 2 1
"40" 1 40 2 -1
"41" 1 41 1 1
"42" 1 42 1 -1
"43" 1 43 1 -1
"44" 1 44 2 1
"45" 1 45 1 1
"46" 1 46 1 1
"47" 1 47 1 1
"48" 1 48 NA 1
"49" 1 49 2 -1
"50" 1 50 2 -1
"51" 1 51 1 1
"52" 1 52 1 -1
"53" 1 53 1 1
"54" 1 54 1 1
"55" 1 55 1 -1
"56" 1 56 2 1
"57" 1 57 2 -1
"58" 1 58 1 -1
"59" 1 59 NA 1
"60" 1 60 2 1
"61" 1 61 1 -1
"62" 1 62 1 -1
"63" 1 63 2 -1
"64" 1 64 1 1
"65" 1 65 1 1
"66" 1 66 1 -1
"67" 1 67 NA -1
"68" 1 68 1 -1
"69" 1 69 2 1
"70" 1 70 1 -1
"71" 1 71 2 -1
"72" 1 72 2 1
"73" 1 73 2 1
"74" 1 74 2 1
"75" 1 75 2 1
"76" 1 76 2 -1
"77" 1 77 2 1
"78" 1 78 1 -1
"79" 1 79 2 1
"80" 1 80 2 1
"81" 1 81 2 1
"82" 1 82 2 -1
"83" 1 83 1 1
"84" 1 84 1 -1
"85" 1 85 2 -1
"86" 1 86 1 1
"87" 1 87 1 1
"88" 1 88 1 1
"89" 1 89 2 -1
"90" 1 90 NA -1
"91" 1 91 1 -1
"92" 1 92 2 1
"93" 1 93 2 1
"94" 1 94 2 1
"95" 1 95 2 1
"96" 1 96 2 -1
"97" 1 97 2 1
"98" 1 98 2 1
"99" 1 99 2 -1
"100" 1 100 2 1
"101" 2 1 1 1
"102" 2 2 NA -1
"103" 2 3 2 1
"104" 2 4 2 -1
"105" 2 5 1 -1
"106" 2 6 2 1
"107" 2 7 1 1
"108" 2 8 1 -1
"109" 2 9 1 -1
"110" 2 10 2 -1
"111" 2 11 2 1
"112" 2 12 2 1
"113" 2 13 2 -1
"114" 2 14 1 -1
"115" 2 15 NA -1
"116" 2 16 2 1
"117" 2 17 2 1
"118" 2 18 2 1
"119" 2 19 2 1
"120" 2 20 2 1
"121" 2 21 2 1
"122" 2 22 1 1
"123" 2 23 1 1
"124" 2 24 1 -1
"125" 2 25 1 -1
